,Movie Name,Year of Release,Genre,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
857,Ingenmansland,(I) (2001),"Comedy, Drama, War            ",98 min,7.9,84        ,"45,391",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
858,Barfi!,(2012),"Comedy, Drama, Romance            ",151 min,8.1,-,"77,619",$2.80M,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
859,Den röda lyktan,(1991),"Drama, History, Romance            ",125 min,8.1,-,"30,410",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
860,Badhaai ho,(2018),"Comedy, Drama            ",124 min,8.0,-,"29,766",-,A man is embarrassed when he finds out his mother is pregnant.
861,"Svart katt, vit katt",(1998),"Comedy, Crime, Romance            ",127 min,8.1,73        ,"51,765",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
862,Vampire Hunter D: Bloodlust,(2000),"Animation, Action, Fantasy            ",103 min,7.7,62        ,"29,942",$0.15M,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
863,The Visitor,(I) (2007),Drama            ,104 min,7.6,79        ,"41,906",$9.42M,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.
864,Cell 211,(2009),"Action, Adventure, Crime            ",113 min,7.6,-,"65,000",-,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
865,Yeopgijeogin geunyeo,(2001),"Comedy, Drama, Romance            ",137 min,8.0,-,"46,089",-,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
866,Ivans barndom,(1962),"Drama, War            ",95 min,8.1,-,"33,049",-,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines."
867,Il postino - postiljonen,(1994),"Biography, Comedy, Drama            ",108 min,7.7,81        ,"34,437",$21.85M,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
868,Farväl min konkubin,(1993),"Drama, Music, Romance            ",171 min,8.1,83        ,"25,903",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
869,The Secret of Kells,(2009),"Animation, Adventure, Family            ",71 min,7.6,81        ,"33,137",$0.69M,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
870,Gosskören,(2004),"Comedy, Drama, Music            ",97 min,7.9,56        ,"58,766",$3.64M,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
871,Jules och Jim,(1962),"Drama, Romance            ",105 min,7.8,97        ,"38,731",-,Decades of a love triangle concerning two friends and an impulsive woman.
872,Haider,(2014),"Action, Crime, Drama            ",160 min,8.1,-,"51,544",$0.90M,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate."
873,'Sleuth' - Spårhunden,(1972),"Mystery, Thriller            ",138 min,8.0,-,"45,458",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
874,Babam ve Oglum,(2005),"Drama, Family            ",112 min,8.3,-,"81,497",-,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
875,Pink,(III) (2016),"Crime, Drama, Thriller            ",136 min,8.1,-,"41,218",$1.24M,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
876,Leva sitt liv,(1962),Drama            ,80 min,8.0,-,"29,238",-,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
877,Äventyret,(1960),"Drama, Mystery, Romance            ",144 min,7.9,-,"27,403",-,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."
878,Avsked,(2008),"Drama, Music            ",130 min,8.1,68        ,"49,514",$1.50M,A newly unemployed cellist takes a job preparing the dead for funerals.
879,Joint Security Area,(2000),"Action, Drama, Thriller            ",110 min,7.8,58        ,"27,563",-,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
880,Special 26,(2013),"Crime, Drama, Thriller            ",144 min,8.0,-,"52,572",$1.08M,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
881,De oskyldiga,(1961),Horror            ,100 min,7.8,88        ,"27,837",$2.62M,A young governess for two children becomes convinced that the house and grounds are haunted.
882,Segerns sötma,(1957),"Drama, Film-Noir            ",96 min,8.0,100        ,"29,110",-,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
883,Masaan,(2015),Drama            ,109 min,8.2,-,"25,070",-,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
884,Så går det till i krig,(1926),"Action, Adventure, Comedy            ",67 min,8.1,-,"83,308",$1.03M,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
885,"4 månader, 3 veckor och 2 dagar",(2007),Drama            ,113 min,7.9,97        ,"57,661",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
886,Den gäckande skuggan,(1934),"Comedy, Crime, Mystery            ",91 min,8.0,86        ,"27,385",-,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
887,Cabirias nätter,(1957),Drama            ,110 min,8.1,-,"44,210",$0.75M,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
888,Talvar,(2015),"Crime, Drama, Mystery            ",132 min,8.2,-,"32,473",$0.34M,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
889,Fyra fula fiskar,(1933),"Comedy, Musical, War            ",69 min,7.8,93        ,"56,432",-,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
890,Jab We Met,(2007),"Comedy, Drama, Romance            ",138 min,7.9,-,"49,230",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
891,Kort möte,(1945),"Drama, Romance            ",86 min,8.0,92        ,"36,980",-,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
892,Munna Bhai M.B.B.S.,(2003),"Comedy, Drama            ",156 min,8.1,-,"76,104",-,A gangster sets out to fulfill his father's dream of becoming a doctor.
893,Zigenarnas tid,(1988),"Comedy, Crime, Drama            ",142 min,8.2,-,"28,559",$0.28M,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
894,M.S. Dhoni: The Untold Story,(2016),"Biography, Drama, Sport            ",184 min,7.9,-,"44,212",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.
895,Små och stora brott,(1989),"Comedy, Drama            ",104 min,7.9,77        ,"55,692",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
896,Mot väggen,(2004),"Drama, Romance            ",121 min,7.9,78        ,"52,166",-,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
897,Toki o kakeru shôjo,(2006),"Animation, Adventure, Comedy            ",98 min,7.7,-,"62,067",-,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
898,"Vi ses igen, barn",(1987),"Drama, War            ",104 min,8.0,88        ,"31,986",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
